"filename", "language", "TypeScript", "JSON", "CSS", "HTML", "SCSS", "JavaScript", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 0, 14, 28
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/angular.json", "JSON", 0, 57, 0, 0, 0, 0, 0, 0, 87, 0, 144
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 0, 6, 2, 45
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/package-lock.json", "JSON", 0, 20518, 0, 0, 0, 0, 0, 0, 0, 1, 20519
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/package.json", "JSON", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/comment-list/comment-list.component.css", "CSS", 0, 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/comment-list/comment-list.component.html", "HTML", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/comment-list/comment-list.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/comment-list/comment-list.component.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-comment/create-comment.component.css", "CSS", 0, 0, 19, 0, 0, 0, 0, 0, 0, 10, 29
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-comment/create-comment.component.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-comment/create-comment.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-comment/create-comment.component.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-ticket/create-ticket.component.css", "CSS", 0, 0, 21, 0, 0, 0, 0, 0, 0, 7, 28
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-ticket/create-ticket.component.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 38, 1, 59
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-ticket/create-ticket.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-ticket/create-ticket.component.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 1, 12, 64
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-user/create-user.component.css", "CSS", 0, 0, 15, 0, 0, 0, 0, 0, 0, 18, 33
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-user/create-user.component.html", "HTML", 0, 0, 0, 15, 0, 0, 0, 0, 0, 10, 25
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-user/create-user.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 61, 4, 83
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/create-user/create-user.component.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 10, 39
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/dashboard/dashboard.component.css", "CSS", 0, 0, 54, 0, 0, 0, 0, 0, 5, 13, 72
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/dashboard/dashboard.component.html", "HTML", 0, 0, 0, 37, 0, 0, 0, 0, 3, 3, 43
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/dashboard/dashboard.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/dashboard/dashboard.component.ts", "TypeScript", 38, 0, 0, 0, 0, 0, 0, 0, 4, 6, 48
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/forgot-password/forgot-password.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/forgot-password/forgot-password.component.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/forgot-password/forgot-password.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Components/forgot-password/forgot-password.component.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 3, 7, 41
